artist_name,track_name,album_name,release_year,duration_minutes,duration_seconds,popularity,track_id
Crystal Waters,Gypsy Woman (She's Homeless) (La Da Dee La Da Da) - Radio Edit,Surprise,1991,3,49,60,4QAKfScH8kLJTbJqhb2jp2
Kenny Dope,The Bomb! (These Sounds Fall Into My Mind),Henry Street Bombs Vol. 1,1997,3,25,46,3tlRGvVZWleW4ZNncqVNI9
Robin S,Show Me Love,Show Me Love,1993,4,12,74,4t0UsYzmmmZRMTWn77jiGF
Hardrive,Deep Inside,Deep Inside (2009 Mixes),2009,6,30,10,22eUyC9vOG2aoP5yHX8VxV
Inner City,Big Fun,Paradise,1989,3,26,55,4PyhlL1vrSvPlhYLdphszr
Ultra Naté,Free - Mood II Swing Radio Edit,Free,1997,3,53,2,0dc6CJ6BsiKxyPvW4yABLo
Daft Punk,One More Time,Discovery,2001,5,20,80,0DiWol3AO6WpXZgp0goxAV
Crystal Waters,Gypsy Woman (She's Homeless) - Radio Edit,The Best Of Crystal Waters,2011,3,47,46,650Uou74HoCdDLrEFIMBKB
Marshall Jefferson,Move Your Body,Frankie Knuckles Presents: His Greatest Hits from Trax Records,2004,6,45,46,6ONN1XFp6dlnNtGAz2HJ50
Modjo,Lady (Hear Me Tonight),Vintage Ibiza Classics,2013,4,34,46,6ynDLZeJjR2XitUKhS7KKW
Soho,Hot Music,Hot Music,2008,5,6,38,6ImSj6g73AT2Z3F35q0x6l
Madison Avenue,Don't Call Me Baby - Original Mix - Edit,21 Years Of Vicious,2014,3,48,46,3wY64WNuNuiGoHnRkzNmCg
Bob Sinclar,"World, Hold On - Radio Edit","Dance Grooves, Vol. 3",2015,3,20,46,780BVi1nSAeuAYM1zPvC6t
Aly-Us,Follow Me - Club Mix,Follow Me (2009 Mixes),2009,6,23,1,4hr7Huv03hzqQKrTOhF9BN
Banji Boys,Love Thang - Cat Walk Mix,Defected Presents House Masters - Armand Van Helden,2016,5,25,46,0FQwho7Pbv7SRlkEyi0JkW
Circle Children,Zulu - Change Mix,Defected Presents House Masters - Armand Van Helden,2016,7,54,46,4iXtWua9L2TGRLfOqJMYwg
Pirates of The Carribean,Rumba - Sambal Badjak Mix,Greatest Hits,1994,5,43,46,0imNslZEX8fVaYGEYvhIaS
Jungle Brothers,I'll House You,Straight Out The Jungle,1988,4,57,43,51GEHfWZuwIg5XHY50XSyS
Sancocho,Tumba La Casa,Tumba La Casa,1996,5,4,30,6uOthLRQMN4rYQ2x2VK2bU
2 In A Room,Carnival,Tumba La Casa,1996,5,58,26,0sGzzmDzIPKyYNhEzAWQNQ
Armand Van Helden,The Funk Phenomena,Old Skool Junkies,1996,6,57,50,3egL3Vnd8iNRpkytmn5Zl2
CeCe Peniston,Finally,Finally,1992,4,5,67,0uqvSVhGgQTIdj9G51vhvv
Crystal Waters,100% Pure Love,20th Century Masters: The Millennium Collection: Best Of Crystal Waters,2001,4,37,46,1Dgr8EPW5eoUZzVhZCkBx5
Black Box,Everybody Everybody,Dreamland,1990,4,7,46,24lF0of2nbQlTYDU8i6glX
Everything But The Girl,Missing - Todd Terry Club Mix / US Radio Edit,Amplified Heart,1994,4,9,46,36sL3KPEfXIp5KH3tDO7oo
Royal House,Can You Party,Can You Party,1988,5,10,31,0oWsLdL42QXWzHA1mzekTC
Livin' Joy,Dreamer - Re-Original 7-inch Mix,Dreamer,2016,3,45,50,08GRfpoCGo9ycQxvTNakNh
Bizarre Inc,I'm Gonna Get You - Original Remix Version,Global Basics - Dance Music For The Millennium,1996,5,18,41,7MfZ9GpIwgexz22lOHIP4y
Barbara Tucker,Beautiful People - Underground Network Mix,Beautiful People (Remixes),1994,9,6,5,6WnWvRVzXJWEHxkhDKmt8u
Jomanda,Got a Love for You - Hurley's House Mix,Someone To Love Me,1990,7,34,35,6p8i9A3hkXzgk5DMcJyEWg
Barbara Tucker,I Get Lifted - The Underground Network Mix,I Get Lifted,1994,7,13,46,3BaOtOk31pPVrrhhsWTn8p
Robin S,Love for Love,Show Me Love,1993,4,15,48,47iKV0KlcvlflSsrCPD3TQ
Basement Jaxx,Red Alert (Jaxx Radio Mix),Red Alert,1999,3,38,46,00pgEuPVH286nExg6HrRF7
Stardust,"Music Sounds Better With You - 12"" Club Mix",Total Music: Dance Classics Vol. 1,2010,3,55,46,0a53p8UzpQD0uW1hFUB4oF
Cajmere,Percolator - Remastered Original Mix,Only 4 U: The Sound Of Cajmere & Cajual Records 1992-2012,2012,4,46,46,3gbvM9QXeGTVOD1ydc454h
MFSB,"T.S.O.P. (The Sound of Philadelphia) (feat. The Three Degrees) - ""A Tom Moulton Mix""",Super Hits,1973,3,45,46,6Jl4iCAUkpjAEguAhblTul
Daft Punk,Around the World,Homework,1997,7,9,76,1pKYYY0dkg23sQQXi0Q5zN
Black Box,Strike It Up,Dreamland,1990,4,58,46,6m8umBymc4gJQUDq8fFKgH
Technotronic,Move This,Pump Up The Jam,1989,5,19,46,7yVtuQux71kxcRk99ILX5c
SNAP!,Rhythm Is A Dancer - 12'' Version,Rhythm Is A Dancer Volume 08,1991,5,16,46,5dle7lDSqNS2AcFtbvgkud
Haddaway,What Is Love - Single Mix,The Album,2011,4,29,46,33iAwBBb962LFQei4J0b0b
Captain Hollywood Project,More and More - Single Version,More And More,2009,4,11,46,6jwlBPt6FlhIlHAdEN1JME
Real McCoy,Another Night,Another Night,1995,3,56,67,3pEuO9J2MTEmec8kUfYYvl
Black Box,Ride On Time (Massive Mix),Ride On Time (Single),2009,6,36,46,3stOeMrVIHOKIO69i9VsGP
Culture Beat,Mr. Vain - Radio Edit,Mr. Vain,1993,4,17,46,3N3t4yMGy1PCF7ZbizvZbK
Corona,The Rhythm of the Night,The Rhythm of the Night,1994,4,24,75,0ofMkI3jzmGCElAOgOLeo3
Ace of Base,Beautiful Life,Singles of the 90s,1999,3,41,46,1GwdUrz7DujSedNxnzVfqI
La Bouche,Be My Lover,Ultimate Club Dance 90s - Vol. 2,2000,4,1,46,3NTbfxjGvouvpVdEhZw1lY
Real McCoy,Run Away,Another Night,1995,4,4,56,0ibYVniVLMJWvc3eNfYk8T
Le Click,Tonight Is The Night,Sweet Dreams,1996,3,53,54,0szxZG3QmQpMxrzmOjfDlm
Aqua,Barbie Girl,Greatest Hits,2009,3,15,46,2ZCTP54O2dMSbVrdsg60to
69 Boyz,Tootsee Roll,Nineteen Ninety Quad,1994,4,16,46,0wfuwgtWKZYRYAONxXPjPO
Reel 2 Real,I Like to Move It - Erick “More” Club Mix,I Like to Move It,1993,5,52,46,35QCdBC38E9KXxrinXtAdA
Alice Deejay,Better Off Alone,Who Needs Guitars Anyway?,2000,3,34,4,0pMUR7Uvp6vxlbG0qBFvgM
Corona,Baby Baby,The Rhythm of the Night,1994,3,48,62,4lDKORchTM8Rd0PFQFXTLX
Eiffel 65,Blue (Da Ba Dee) - DJ Ponte Ice Pop Radio,Blue (Da Ba Dee),1998,4,43,46,08VeSelC8QYD1MIsK9gAmY
Frankie Cutlass,Puerto Rico (The Original Mix),DJ's Only,1994,4,56,24,30FQ3Tz4mcD26tIvdYHfRk
Herbie Hancock,Rockit,Playlist: The Very Best Of Herbie Hancock,2008,5,25,46,3iZq92HX3LWe8ovrHvhXJC
Kurtis Blow,The Breaks,The Best Of Kurtis Blow,1994,7,49,46,3GJqifyIDLB0SAscrYgfuJ
DJ Analyzer vs Cary August,Mortal Kombat 2012 (Techno Syndrome) - Thomas You Electro Remix Edit,Mortal Kombat 2012 (Techno Syndrome),2012,3,51,25,2uAfNZ8IxxxGsbtnhB9BRH
Afrika Bambaataa,Planet Rock,Looking for the Perfect Beat 1980 -1985,2001,6,22,46,6hUUmluBMJ3JjKfDapUQPJ
Sweet Female Attitude,Flowers - Sunship Radio Edit,Flowers,2015,3,50,57,1IqANTbvKLojRoomq685LA
Lil Suzy,Take Me In Your Arms,Lil' Suzy - The Greatest Hits,2004,3,52,53,51k2LB1iizPL9grpAkQrco
Steve Angello,Show Me Love (feat. Robin S) - Radio Edit,Show Me Love (feat. Robin S),2008,3,5,55,5Nzph7bpgv2GNh2DcVX29T
Paul Oakenfold,Starry Eyed Surprise,Bunkka,2002,3,48,54,6A4Kuy7JL0Znab3Skgloiv
Nightcrawlers,Push The Feeling On - Mk Dub Revisited Edit,Push The Feeling On,1995,4,3,70,1EWsVHU4FNAdtN4R8FETag
Eric Prydz,Call On Me - Radio Edit,Call On Me,2004,2,51,46,3uLSUZEmTY50H6Kw17lpfW
Bob Sinclar,"World, Hold On",Western Dream,2006,6,41,59,6yeO8fapOJGqL8Hr0Da2l3
